product_id,product_name,category_id,supplier_id,price,Quantity,create_date,update_date
151,"Sony Xperia 5 IV",1,3,899.99,25,"2024-11-11 18:34:01","2024-11-18 21:41:40"
152,"Huawei P50 Pro",1,5,1099.99,40,"2024-11-11 18:34:01","2024-11-15 14:26:03"
153,"LG OLED TV 65"",6,4,2199.99,10,"2024-11-11 18:34:01","2024-11-15 14:26:17"
154,"Sony Bravia X90J 55"",10,3,1299.99,15,"2024-11-11 18:34:01","2024-11-15 14:26:49"
155,"Samsung QLED 4K 55"",6,1,1599.99,20,"2024-11-11 18:34:01","2024-11-14 22:33:08"
156,"Apple MacBook Pro 16"",2,2,2399.99,18,"2024-11-11 18:34:01","2024-11-12 19:59:45"
157,"Lenovo ThinkPad X1 Carbon",2,7,1499.99,25,"2024-11-11 18:34:01","2024-11-11 18:34:01"
158,"Dell XPS 13",2,10,1399.99,30,"2024-11-11 18:34:01","2024-11-11 18:34:01"
159,"HP Spectre x360",2,9,1699.99,10,"2024-11-11 18:34:01","2024-11-11 18:34:01"
160,"Acer Predator Helios 300",2,8,1399.99,15,"2024-11-11 18:34:01","2024-11-11 18:34:01"
161,"Apple iPad Pro 12.9"",3,2,1099.99,50,"2024-11-11 18:34:01","2024-11-11 18:34:01"
162,"Samsung Galaxy Tab S8+",3,1,899.99,40,"2024-11-11 18:34:01","2024-11-11 18:34:01"
163,"Microsoft Surface Pro 8",3,6,1299.99,35,"2024-11-11 18:34:01","2024-11-11 18:34:01"
164,"Amazon Fire HD 10",3,12,149.99,60,"2024-11-11 18:34:01","2024-11-11 18:34:01"
165,"Apple Watch Series 8",4,2,399.99,75,"2024-11-11 18:34:01","2024-11-11 18:34:01"
166,"Samsung Galaxy Watch 5",4,1,279.99,80,"2024-11-11 18:34:01","2024-11-11 18:34:01"
167,"Garmin Forerunner 945",4,11,599.99,40,"2024-11-11 18:34:01","2024-11-11 18:34:01"
168,"Sony WH-1000XM5",5,3,349.99,100,"2024-11-11 18:34:01","2024-11-11 18:34:01"
169,"Bose QuietComfort 45",5,3,329.99,120,"2024-11-11 18:34:01","2024-11-11 18:34:01"
170,"Apple AirPods Pro 2",5,2,249.99,150,"2024-11-11 18:34:01","2024-11-11 18:34:01"
171,"Logitech G Pro X Wireless",5,19,199.99,80,"2024-11-11 18:34:01","2024-11-11 18:34:01"
172,"Sony PlayStation 5",7,3,499.99,200,"2024-11-11 18:34:01","2024-11-11 18:34:01"
173,"Xbox Series X",7,10,499.99,180,"2024-11-11 18:34:01","2024-11-13 11:06:53"
174,"Nintendo Switch OLED",7,3,349.99,220,"2024-11-11 18:34:01","2024-11-11 18:34:01"
175,"Razer Blade 15 Advanced",2,19,2299.99,12,"2024-11-11 18:34:01","2024-11-11 18:34:01"
176,"Dell Alienware M15",2,10,1899.99,15,"2024-11-11 18:34:01","2024-11-11 18:34:01"
177,"ASUS ROG Strix G15",2,15,1599.99,20,"2024-11-11 18:34:01","2024-11-11 18:34:01"
178,"Corsair Vengeance DDR5 32GB",9,16,199.99,500,"2024-11-11 18:34:01","2024-11-11 18:34:01"
179,"Seagate 1TB External SSD",9,17,129.99,300,"2024-11-11 18:34:01","2024-11-11 18:34:01"
180,"Western Digital 2TB HDD",9,18,99.99,400,"2024-11-11 18:34:01","2024-11-11 18:34:01"
181,"NVIDIA GeForce RTX 3080",9,12,699.99,50,"2024-11-11 18:34:01","2024-11-11 18:34:01"
182,"Intel Core i9-12900K",9,13,799.99,60,"2024-11-11 18:34:01","2024-11-11 18:34:01"
183,"ASUS TUF Gaming Monitor",9,15,349.99,80,"2024-11-11 18:34:01","2024-11-11 18:34:01"
184,"Logitech G502 Hero Mouse",5,19,79.99,150,"2024-11-11 18:34:01","2024-11-11 18:34:01"
185,"Canon EOS R5 Camera",6,3,3899.99,10,"2024-11-11 18:34:01","2024-11-11 18:34:01"
186,"Nikon D850 DSLR",6,3,2999.99,15,"2024-11-11 18:34:01","2024-11-11 18:34:01"
187,"Samsung 970 EVO Plus 1TB SSD",9,1,179.99,300,"2024-11-11 18:34:01","2024-11-11 18:34:01"
